性别,宗教,政治面貌,学历,学科,是否干部,社团类型,成长环境,是否接受过资助,大学是否志愿服务,项目开展频率,项目活动次数,活动持续时间,选择服务时间,参与项目总数,服务总时长,往返车程,服务类型之环保,社区,福利机构,助学助教,博物馆等,大型活动,其他,参与途径之学校社团,学院及班组织,校外项目,老师提供,其他途径,角色,培训情况,培训者,动机之增长才干,奉献社会,结交朋友,跟风,现实因素,其他动机,初衷实现,服务中断,中断服务之时间过多,不能自身能力,不认同项目目标,失去新鲜感,缺培训无法胜任,不认同组织形式,其他原因,争执,争执对象,争执强度,个人责任,个人处置,争执影响,未发生争执原因,挫折感,志愿服务现状满意度,过程快乐感,项目形式主义,解决困难主动性,志愿者素质,周围对志愿服务态度,服务后总结反馈,热情退却,服务提升能力,重视志愿者作用,F1,F2,F31,F32,F33,F34,满意度,动机实现,动机之被动,奉献社会1,动机之利他,动机之利己,动机之利己1,动机之利己2,动机之被动1,动机分布,动机分类,参加项目数,参加项目数量,满意度累计,失落,服务时间
2.0,0.0,0.0,2.0,0.0,1.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,30.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,,,,,,3.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,5.0,2.0,4.0,4.0,1.1273548389843984,-0.6695021995066355,0.6688931035627738,-0.7854719605705294,0.8391902898669574,-0.0569227159642014,14.178937124603532,0.0,1.0,6.0,8.0,1.0,7.0,8.0,8.0,21.0,3.0,1.0,1.0,31.0,1.0,0.0
2.0,0.0,0.0,2.0,0.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,4.0,1.0,30.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,3.0,3.0,3.0,1.0,2.0,,4.0,3.0,1.0,5.0,1.0,5.0,3.0,3.0,3.0,1.0,1.0,0.959628281983734,-0.21403646243523503,-2.9906006265987335,-2.417808543731436,3.598013053222393,3.827193112263145,14.04646052733193,0.0,0.0,0.0,1.0,1.0,7.0,6.0,0.0,7.0,2.0,1.0,1.0,22.0,0.0,1.0
2.0,0.0,0.0,2.0,0.0,1.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,30.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,,,,,,3.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,5.0,2.0,4.0,4.0,1.1273548389843984,-0.6695021995066355,0.6688931035627738,-0.7854719605705294,0.8391902898669574,-0.0569227159642014,14.178937124603532,0.0,1.0,6.0,8.0,1.0,7.0,8.0,8.0,21.0,3.0,1.0,1.0,31.0,1.0,0.0
2.0,0.0,0.0,2.0,0.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,4.0,1.0,30.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,3.0,3.0,3.0,1.0,2.0,,4.0,3.0,1.0,5.0,1.0,5.0,3.0,3.0,3.0,1.0,1.0,0.959628281983734,-0.21403646243523503,-2.9906006265987335,-2.417808543731436,3.598013053222393,3.827193112263145,14.04646052733193,0.0,0.0,0.0,1.0,1.0,7.0,6.0,0.0,7.0,2.0,1.0,1.0,22.0,0.0,1.0
2.0,0.0,0.0,2.0,0.0,1.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,30.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,,,,,,3.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,5.0,2.0,4.0,4.0,1.1273548389843984,-0.6695021995066355,0.6688931035627738,-0.7854719605705294,0.8391902898669574,-0.0569227159642014,14.178937124603532,0.0,1.0,6.0,8.0,1.0,7.0,8.0,8.0,21.0,3.0,1.0,1.0,31.0,1.0,0.0
2.0,0.0,0.0,2.0,0.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,4.0,1.0,30.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,3.0,3.0,3.0,1.0,2.0,,4.0,3.0,1.0,5.0,1.0,5.0,3.0,3.0,3.0,1.0,1.0,0.959628281983734,-0.21403646243523503,-2.9906006265987335,-2.417808543731436,3.598013053222393,3.827193112263145,14.04646052733193,0.0,0.0,0.0,1.0,1.0,7.0,6.0,0.0,7.0,2.0,1.0,1.0,22.0,0.0,1.0
2.0,0.0,0.0,2.0,0.0,1.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,30.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,,,,,,3.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,5.0,2.0,4.0,4.0,1.1273548389843984,-0.6695021995066355,0.6688931035627738,-0.7854719605705294,0.8391902898669574,-0.0569227159642014,14.178937124603532,0.0,1.0,6.0,8.0,1.0,7.0,8.0,8.0,21.0,3.0,1.0,1.0,31.0,1.0,0.0
2.0,0.0,0.0,2.0,0.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,4.0,1.0,30.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,3.0,3.0,3.0,1.0,2.0,,4.0,3.0,1.0,5.0,1.0,5.0,3.0,3.0,3.0,1.0,1.0,0.959628281983734,-0.21403646243523503,-2.9906006265987335,-2.417808543731436,3.598013053222393,3.827193112263145,14.04646052733193,0.0,0.0,0.0,1.0,1.0,7.0,6.0,0.0,7.0,2.0,1.0,1.0,22.0,0.0,1.0
2.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,70.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,3.0,2.0,2.0,,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.626195003351237,3.6593511640888545,2.897236370021471,3.6160711250781836,2.8249683462556923,0.848890253477795,192.15093057486524,0.0,0.0,6.0,6.0,0.0,0.0,1.0,0.0,6.0,1.0,1.0,1.0,24.0,0.0,0.0
2.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,70.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,3.0,2.0,2.0,,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.626195003351237,3.6593511640888545,2.897236370021471,3.6160711250781836,2.8249683462556923,0.848890253477795,192.15093057486524,0.0,0.0,6.0,6.0,0.0,0.0,1.0,0.0,6.0,1.0,1.0,1.0,24.0,0.0,0.0
