数据集,样本量,变量,系数,标准误,z值,p值,OR,准确率
原始552行(本科1-3年级),552,const,-0.6318,0.1349,-4.6845,0.0,0.5317,0.768
原始552行(本科1-3年级),552,frustration_z,1.4995,0.1407,10.6549,0.0,4.4792,0.768
原始552行(本科1-3年级),552,projects_z,-0.0124,0.1118,-0.1109,0.9117,0.9877,0.768
原始552行(本科1-3年级),552,is_manager,0.6045,0.2647,2.2832,0.0224,1.8303,0.768
原始552行(本科1-3年级),552,high_grade,0.3885,0.2387,1.6273,0.1037,1.4748,0.768
原始552行(本科1-3年级),552,service_z,0.0402,0.1123,0.3578,0.7205,1.041,0.768
去重137行唯一记录,137,const,-0.6239,0.2696,-2.3143,0.0206,0.5358,0.766
去重137行唯一记录,137,frustration_z,1.4868,0.2817,5.2774,0.0,4.4231,0.766
去重137行唯一记录,137,projects_z,-0.0098,0.2231,-0.044,0.9649,0.9902,0.766
去重137行唯一记录,137,is_manager,0.5773,0.5323,1.0846,0.2781,1.7812,0.766
去重137行唯一记录,137,high_grade,0.3662,0.4798,0.7632,0.4453,1.4423,0.766
去重137行唯一记录,137,service_z,0.036,0.2244,0.1605,0.8725,1.0367,0.766
加权频数权重(137行),137,const,-0.6318,0.1349,-4.6845,0.0,0.5317,0.768
加权频数权重(137行),137,frustration_z,1.4995,0.1407,10.6549,0.0,4.4792,0.768
加权频数权重(137行),137,projects_z,-0.0124,0.1118,-0.1109,0.9117,0.9877,0.768
加权频数权重(137行),137,is_manager,0.6045,0.2647,2.2832,0.0224,1.8303,0.768
加权频数权重(137行),137,high_grade,0.3885,0.2387,1.6273,0.1037,1.4748,0.768
加权频数权重(137行),137,service_z,0.0402,0.1123,0.3578,0.7205,1.041,0.768
